genre_id,mean_gross,mg_adjusted,occurences
12,360171060.34476537,106329669.53429602,277
14,293955663.9757764,83957551.57805382,161
16,336628484.00840336,95547946.68767504,119
10751,275275598.17469877,76766755.80823295,166
28,255238522.32788944,84890959.10929647,398
878,300018515.2694611,93265783.40818365,167
35,135036376.9352381,54233087.63396825,525
53,112607083.47712766,40857734.23386526,376
18,74161555.21989529,31778875.28904885,764
10749,70943780.32751092,26625882.719068415,229
9648,91859729.65254237,28713916.932203393,118
80,101065982.14583333,34441697.21701388,192
36,66065668.40789474,26402270.958333325,76
27,90787147.55244756,39686486.03729605,143
37,137090182.3529412,46002601.96078431,17
10752,130801785.71428572,41413903.80952381,42
99,34345492.03174603,31440188.328042325,63
10402,76469502.12765957,29720812.056737587,47
10770,120950000.0,32625000.0,2
